Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000031562,Dctd,Age,18,1,1.3242,1.4322,-1.4829,4.1314,0.85,0.3552,0.9254927275,1.9104500291,2.066294651,0.0336269896,3.7592634651
ENSMUSG00000031563,Wwc2,Age,18,1,-0.2579,0.8653,-1.9539,1.4381,0.09,0.7657,0.9981578959,-0.372099747,1.2484146062,0.0008007534,0.7726571266
ENSMUSG00000031565,Fgfr1,Age,18,1,0.1216,0.6869,-1.2246,1.4678,0.03,0.8595,0.9999208275,0.1754413465,0.9909439312,0.0000343855,1.1293098282
ENSMUSG00000031568,Rwdd4a,Age,18,1,0.0466,0.3120,-0.5649,0.6580,0.02,0.8814,0.9999208275,0.0671743037,0.450063213,0.0000343855,1.0476626961
ENSMUSG00000031570,Plpp5,Age,18,1,-0.7520,0.6493,-2.0246,0.5206,1.34,0.2468,0.8744681996,-1.084894409,0.9367636207,0.0582559792,0.4714267705
ENSMUSG00000031574,Star,Age,18,1,-0.4904,0.5462,-1.5610,0.5802,0.81,0.3693,0.9304976519,-0.707502066,0.7880590985,0.0312847185,0.6123795175
ENSMUSG00000031575,Ash2l,Age,18,1,0.5725,0.4037,-0.2188,1.3638,2.01,0.1562,0.784294266,0.8259214759,0.5824771249,0.1055209601,1.7726669117
ENSMUSG00000031577,Tti2,Age,18,1,0.0573,0.4507,-0.8260,0.9406,0.02,0.8989,0.9999208275,0.0826275853,0.6501706414,0.0000343855,1.0589449453
ENSMUSG00000031578,Mak16,Age,18,1,0.1737,0.3249,-0.4631,0.8105,0.29,0.5929,0.9877546297,0.2505894365,0.4687595055,0.0053509261,1.1896930841
ENSMUSG00000031583,Wrn,Age,18,1,0.0674,0.1904,-0.3058,0.4405,0.13,0.7235,0.995805013,0.0971951754,0.2746873618,0.0018256918,1.0696917917
ENSMUSG00000031584,Gsr,Age,18,1,-0.1390,0.2419,-0.6131,0.3351,0.33,0.5655,0.9834062785,-0.200543177,0.3489576224,0.0072670233,0.8702228613
ENSMUSG00000031585,Gtf2e2,Age,18,1,-0.0275,0.2815,-0.5792,0.5242,0.01,0.9222,0.9999208275,-0.039682337,0.4060868599,0.0000343855,0.9728691371
ENSMUSG00000031586,Rbpms,Age,18,1,0.0950,0.4220,-0.7322,0.9222,0.05,0.8219,0.9981830775,0.1370393023,0.6088843375,0.0007897971,1.0996461058
ENSMUSG00000031590,Frg1,Age,18,1,0.1088,0.1825,-0.2490,0.4665,0.36,0.5513,0.9796519083,0.1568998099,0.2633049372,0.0089282112,1.1148887909
ENSMUSG00000031591,Asah1,Age,18,1,0.0459,0.4845,-0.9036,0.9954,0.01,0.9245,0.9999208275,0.0662766797,0.6989169166,0.0000343855,1.0470110582
ENSMUSG00000031592,Pcm1,Age,18,1,-0.3075,0.5660,-1.4168,0.8018,0.30,0.5869,0.9876191628,-0.443615629,0.8165125307,0.005410492,0.7352895419
ENSMUSG00000031596,Slc7a2,Age,18,1,0.9417,0.6244,-0.2822,2.1655,2.27,0.1315,0.753721905,1.3585415018,0.9008531608,0.1227888629,2.5642581375
ENSMUSG00000031600,Vps37a,Age,18,1,-0.8469,0.3018,-1.4384,-0.2554,7.88,0.0050,0.2810006284,-1.221811175,0.435386335,0.5512927088,0.4287441303
ENSMUSG00000031601,Cnot7,Age,18,1,-0.5068,0.5282,-1.5421,0.5285,0.92,0.3373,0.9152521437,-0.731157723,0.7620787014,0.0384592452,0.6024202942
ENSMUSG00000031604,Msmo1,Age,18,1,-0.5376,0.4969,-1.5114,0.4363,1.17,0.2793,0.8853586091,-0.775542115,0.7168185667,0.0528807853,0.5841690724
ENSMUSG00000031605,Klhl2,Age,18,1,0.3481,0.3524,-0.3425,1.0387,0.98,0.3232,0.909902919,0.502191561,0.5083463789,0.0410049418,1.4163634904
